Name	Protocol	Port	Comments
tcp_10892	tcp	10892	
tcp_1093	tcp	1093	
tcp_1095	tcp	1095	
tcp_1098	tcp	1098	
tcp_1099	tcp	1099	
tcp_1100_1200	tcp	1100-1200	
tcp_1101	tcp	1101	
tcp_1102	tcp	1102	
tcp_1103-1129	tcp	1103-1129	
tcp_11070	tcp	11070	for remedy to access DB
tcp_111	tcp	111	
tcp_1114	tcp	1114	
tcp_1121	tcp	1121	
tcp_11251	tcp	11251	
tcp_1128	tcp	1128	
tcp_1129	tcp	1129	
tcp_1143	tcp	1143	
tcp_11521	tcp	11521	
tcp_1156	tcp	1156	
tcp_1159	tcp	1159	
tcp_1161	tcp	1161	
tcp_11621	tcp	11621	
tcp_12000_12004	tcp	12000-12004	
tcp_1216	tcp	1216	IAM Provisioning Server to Top Secret
tcp_12209	tcp	12209	12209
tcp_1224	tcp	1224	
tcp_1238	tcp	1238	
tcp_1241	tcp	1241	nessus con to srv
tcp_1242	tcp	1242	
tcp_1244	tcp	1244	
tcp_1250	tcp	1250	
tcp_1270	tcp	1270	
tcp_12961	tcp	12961	12961
tcp_1298	tcp	1298	
tcp_13000	tcp	13000	
tcp_13001	tcp	13001	
tcp_13001-13010	tcp	13001-13010	
tcp_13075	tcp	13075	
tcp_1309	tcp	1309	
tcp_13100	tcp	13100	
tcp_13120	tcp	13120	
tcp_13130	tcp	13130	
tcp_13132	tcp	13132	
tcp_1315	tcp	1315	
tcp_1316	tcp	1316	MQseries ?
tcp_1317	tcp	1317	MQseries ?
tcp_1318	tcp	1318	MQseries ?
tcp_1319	tcp	1319	mqseries
tcp_13200	tcp	13200	
tcp_13202	tcp	13202	
tcp_1321	tcp	1321	
tcp_13279	tcp	13279	
tcp_1330	tcp	1330	
tcp_135	tcp	135	
tcp_13550	tcp	13550	
tcp_1369	tcp	1369	
tcp_137	tcp	137	
tcp_137-138	tcp	137-138	
tcp_137-139	tcp	137-139	
tcp_13701	tcp	13701	
tcp_13720	tcp	13720	
tcp_13721	tcp	13721	
tcp_13723	tcp	13723	
tcp_13724	tcp	13724	
tcp_1377	tcp	1377	
tcp_13782	tcp	13782	
tcp_14000_17000	tcp	14000-17000	
tcp_1400_1600	tcp	1400-1600	
tcp_1401	tcp	1401	
tcp_1403	tcp	1403	
tcp_14100-14101	tcp	14100-14101	
tcp_1414	tcp	1414	mqseries
tcp_1422	tcp	1422	
tcp_1463	tcp	1463	
tcp_1468	tcp	1468	
tcp_1478	tcp	1478	
tcp_1481	tcp	1481	
tcp_1500-1560	tcp	1500-1560	
tcp_1500-1599	tcp	1500-1599	
tcp_15000-15999	tcp	15000-15999	
tcp_1501	tcp	1501	Cpais PPACCTD dev &test
tcp_1502	tcp	1502	ora02 on ares
tcp_1505	tcp	1505	ora05 on mars
tcp_1506	tcp	1506	ora06 on ares
tcp_1507	tcp	1507	
tcp_1508	tcp	1508	oracle listener
tcp_1509	tcp	1509	
tcp_1510	tcp	1510	
tcp_1511	tcp	1511	
tcp_1512	tcp	1512	
tcp_1516	tcp	1516	
tcp_1520	tcp	1520	
tcp_1521-1526	tcp	1520-1526	
tcp_1522	tcp	1522	
tcp_1523	tcp	1523	
tcp_1527	tcp	1527	
tcp_1528	tcp	1528	Cpais
tcp_1531	tcp	1531	Cpais PPACCTQ Quality Assurance
tcp_1532	tcp	1532	
tcp_1535	tcp	1535	ora65 on mars
tcp_1536	tcp	1536	oracle listener
tcp_15364	tcp	15364	
tcp_1555	tcp	1555	
tcp_1556	tcp	1556	
tcp_1557	tcp	1557	
tcp_1560	tcp	1560	
tcp_1561	tcp	1561	
tcp_1562	tcp	1562	
tcp_1563	tcp	1563	ora83 on mars
tcp_1564	tcp	1564	
tcp_1565	tcp	1565	oracle listener
tcp_1567	tcp	1567	
tcp_1569	tcp	1569	
tcp_1575	tcp	1575	
tcp_1580	tcp	1580	
tcp_1580-1583	tcp	1580-1583	IAM Provisioning Server to Oracle
tcp_1581	tcp	1581	
tcp_1582	tcp	1582	
tcp_1583	tcp	1583	
tcp_1584	tcp	1584	
tcp_1585	tcp	1585	
tcp_1586	tcp	1586	
tcp_1587	tcp	1587	
tcp_15871	tcp	15871	
tcp_1588	tcp	1588	
tcp_1589	tcp	1589	
tcp_1590_1640	tcp	1590-1640	
tcp_1591	tcp	1591	cpais PPACCTP production
tcp_1592	tcp	1592	ora72 on ares
tcp_1593	tcp	1593	oracle listener
tcp_1594	tcp	1594	
tcp_1595	tcp	1595	ora75 on ares
tcp_1597	tcp	1597	
tcp_1598	tcp	1598	oracle listener
tcp_1599	tcp	1599	
tcp_16000	tcp	16000	
tcp_16000-16990	tcp	16000-16990	
tcp_16001	tcp	16001	
tcp_1604	tcp	1604	
tcp_1604-1609	tcp	1604-1609	
tcp_1606	tcp	1606	
tcp_1608	tcp	1608	
tcp_1608_1695	tcp	1608-1695	DB2 ports
tcp_1616	tcp	1616	
tcp_16163	tcp	16163	
TCP_161_concord	tcp	161	
tcp_162	tcp	162	
tcp_1645	tcp	1645	
tcp_1646	tcp	1646	
tcp_1650	tcp	1650	
tcp_1650-1657	tcp	1650-1657	
tcp_1652	tcp	1652	
tcp_1654	tcp	1654	access to db2
tcp_1670-1673	tcp	1670-1673	
tcp_1672	tcp	1672	for db2
tcp_1676-1677	tcp	1676-1677	
tcp_1688	tcp	1688	
tcp_1694-1695	tcp	1694-1695	
tcp_1700	tcp	1700	
tcp_17003	tcp	17003	
tcp_17004	tcp	17004	
tcp_17005	tcp	17005	
tcp_17006	tcp	17006	
tcp_1718	tcp	1718	
tcp_1719	tcp	1719	
tcp_17248	tcp	17248	
tcp_1731	tcp	1731	
tcp_1741	tcp	1741	
tcp_1750	tcp	1750	
tcp_1751	tcp	1751	
tcp_1755	tcp	1755	
tcp_17711	tcp	17711	
tcp_17777-17781	tcp	17777-17781	
tcp_17781	tcp	17781	
